side,cluster_id,blind_profit_sum,blind_bet_count,model_profit_sum,model_bet_count
OVER,2024020157:8476883,2.41,3,0.0,0
OVER,2024020158:8478971,2.54,3,2.54,3
OVER,2024020158:8481692,-3.0,3,0.0,0
OVER,2024020159:8474593,-3.0,3,0.0,0
OVER,2024020159:8481668,-3.0,3,-3.0,3
OVER,2024020160:8475311,-3.0,3,0.0,0
OVER,2024020161:8478916,-3.0,3,-3.0,3
OVER,2024020161:8479361,-3.0,3,0.0,0
OVER,2024020162:8476412,-3.0,3,0.0,0
OVER,2024020162:8481035,-3.0,3,0.0,0
OVER,2024020163:8477968,-3.0,3,-1.0,1
OVER,2024020164:8479292,-3.0,3,-3.0,3
OVER,2024020164:8480051,-3.0,3,0.0,0
OVER,2024020165:8480280,-3.0,3,0.0,0
OVER,2024020165:8481611,-3.0,3,-3.0,3
OVER,2024020166:8475717,-3.0,3,0.0,0
OVER,2024020167:8475852,-2.0,2,0.0,0
OVER,2024020167:8478406,-3.0,3,0.0,0
OVER,2024020168:8475683,0.9099999999999999,1,0.0,0
OVER,2024020168:8479979,-3.0,3,-3.0,3
OVER,2024020169:8478009,3.0199999999999996,3,2.07,2
OVER,2024020169:8482221,2.7699999999999996,3,0.0,0
OVER,2024020170:8476999,-3.0,3,0.0,0
OVER,2024020170:8478048,2.5500000000000003,3,0.0,0
OVER,2024020171:8477480,-3.0,3,0.0,0
OVER,2024020171:8478007,2.5700000000000003,3,0.0,0
OVER,2024020172:8476883,-3.0,3,0.0,0
OVER,2024020172:8479406,2.92,3,2.92,3
OVER,2024020173:8474593,2.92,3,0.0,0
OVER,2024020173:8478435,-3.0,3,0.0,0
OVER,2024020174:8479193,-2.0,2,-2.0,2
OVER,2024020174:8481519,-2.0,2,0.0,0
OVER,2024020175:8476914,-1.0,1,0.0,0
OVER,2024020175:8481035,-3.0,3,0.0,0
OVER,2024020176:8475852,2.73,3,0.0,0
OVER,2024020177:8480193,-3.0,3,0.0,0
OVER,2024020177:8480313,2.79,3,2.79,3
OVER,2024020178:8476341,-3.0,3,0.0,0
OVER,2024020179:8475660,2.4000000000000004,3,0.0,0
OVER,2024020179:8480045,-3.0,3,0.0,0
OVER,2024020180:8477968,2.6799999999999997,3,2.6799999999999997,3
OVER,2024020180:8478470,-3.0,3,0.0,0
OVER,2024020181:8476412,2.78,3,2.78,3
OVER,2024020181:8479361,-3.0,3,-3.0,3
OVER,2024020182:8481020,-3.0,3,0.0,0
OVER,2024020183:8478499,-3.0,3,0.0,0
OVER,2024020183:8478971,2.7699999999999996,3,0.0,0
OVER,2024020184:8478406,-3.0,3,0.0,0
OVER,2024020184:8480947,-3.0,3,-3.0,3
OVER,2024020185:8478009,2.87,3,0.0,0
OVER,2024020185:8478048,2.88,3,1.78,2
OVER,2024020186:8476945,0.8300000000000001,1,0.8300000000000001,1
OVER,2024020187:8478916,1.93,2,0.0,0
OVER,2024020187:8480280,-3.0,3,0.0,0
OVER,2024020188:8479292,2.54,3,0.0,0
OVER,2024020188:8481611,-2.0,2,-2.0,2
OVER,2024020189:8476932,0.9099999999999999,1,0.9099999999999999,1
OVER,2024020189:8479406,-3.0,3,-3.0,3
OVER,2024020190:8478435,-3.0,3,0.0,0
OVER,2024020190:8479973,1.8099999999999998,2,0.0,0
OVER,2024020191:8482821,2.54,3,0.0,0
OVER,2024020192:8475311,-3.0,3,0.0,0
OVER,2024020192:8477424,-3.0,3,0.0,0
OVER,2024020193:8474596,2.86,3,2.86,3
OVER,2024020193:8475717,-3.0,3,-3.0,3
OVER,2024020194:8476999,2.6100000000000003,3,0.0,0
OVER,2024020194:8480045,2.5700000000000003,3,0.0,0
OVER,2024020195:8476932,2.42,3,2.42,3
OVER,2024020195:8480280,-3.0,3,0.0,0
OVER,2024020196:8478470,2.6,3,0.0,0
OVER,2024020196:8481692,-3.0,3,0.0,0
OVER,2024020197:8481611,-3.0,3,-3.0,3
OVER,2024020198:8477968,-3.0,3,0.0,0
OVER,2024020198:8478009,2.35,3,0.0,0
OVER,2024020199:8476412,-3.0,3,0.0,0
OVER,2024020199:8476883,-3.0,3,0.0,0
OVER,2024020200:8479406,-3.0,3,0.0,0
OVER,2024020200:8479496,-3.0,3,-3.0,3
OVER,2024020201:8476945,-3.0,3,-3.0,3
OVER,2024020201:8478872,-2.0,2,0.0,0
OVER,2024020202:8475831,-2.0,2,0.0,0
OVER,2024020202:8481020,-3.0,3,0.0,0
OVER,2024020203:8480843,2.4400000000000004,3,0.0,0
OVER,2024020203:8480947,-2.0,2,0.0,0
OVER,2024020204:8477970,1.8399999999999999,2,0.0,0
OVER,2024020204:8478007,-3.0,3,0.0,0
OVER,2024020205:8480313,2.5200000000000005,3,0.0,0
OVER,2024020206:8475660,2.5200000000000005,3,0.0,0
OVER,2024020206:8475852,-3.0,3,0.0,0
OVER,2024020207:8478499,-3.0,3,-3.0,3
OVER,2024020207:8479973,2.76,3,0.0,0
OVER,2024020208:8476914,2.5700000000000003,3,0.0,0
OVER,2024020208:8481692,2.42,3,0.0,0
OVER,2024020209:8473575,-3.0,3,0.0,0
OVER,2024020209:8476341,-3.0,3,0.0,0
OVER,2024020210:8476883,2.95,3,0.0,0
OVER,2024020211:8475683,-3.0,3,0.0,0
OVER,2024020212:8474593,-3.0,3,-3.0,3
OVER,2024020212:8478470,-3.0,3,0.0,0
OVER,2024020213:8478048,-3.0,3,-2.0,2
OVER,2024020213:8480045,-3.0,3,0.0,0
OVER,2024020214:8477968,-3.0,3,0.0,0
OVER,2024020214:8481611,2.41,3,2.41,3
OVER,2024020215:8480981,2.87,3,0.0,0
OVER,2024020216:8479979,2.6,3,2.6,3
OVER,2024020216:8482821,2.5100000000000002,3,0.0,0
OVER,2024020217:8476945,2.62,3,2.62,3
OVER,2024020217:8480382,-2.0,2,0.0,0
OVER,2024020218:8475311,-3.0,3,0.0,0
OVER,2024020218:8480947,-3.0,3,0.0,0
OVER,2024020219:8470594,-3.0,3,-3.0,3
OVER,2024020219:8477970,-3.0,3,0.0,0
OVER,2024020220:8475660,-3.0,3,0.0,0
OVER,2024020220:8476932,-3.0,3,-3.0,3
OVER,2024020221:8479292,2.45,3,0.0,0
OVER,2024020222:8479406,2.76,3,2.76,3
OVER,2024020222:8480843,-3.0,3,0.0,0
OVER,2024020223:8478916,-3.0,3,0.0,0
OVER,2024020224:8480045,-2.0,2,-1.0,1
OVER,2024020225:8475683,2.75,3,2.75,3
OVER,2024020225:8481035,1.72,2,0.0,0
OVER,2024020226:8476999,-2.0,2,0.0,0
OVER,2024020227:8478470,-3.0,3,0.0,0
OVER,2024020227:8479361,-2.0,2,-2.0,2
OVER,2024020228:8471734,2.66,3,1.8299999999999998,2
OVER,2024020228:8478024,-3.0,3,0.0,0
OVER,2024020229:8476412,-2.0,2,0.0,0
OVER,2024020229:8480313,-2.0,2,0.0,0
OVER,2024020230:8476945,1.6400000000000001,2,0.0,0
OVER,2024020231:8474593,-2.0,2,0.0,0
OVER,2024020231:8478009,1.8699999999999999,2,0.0,0
OVER,2024020232:8478971,-2.0,2,0.0,0
OVER,2024020233:8480382,-2.0,2,0.0,0
OVER,2024020234:8478007,-2.0,2,0.0,0
OVER,2024020235:8479973,-2.0,2,0.0,0
OVER,2024020235:8480947,-2.0,2,-2.0,2
OVER,2024020236:8474596,2.5100000000000002,3,2.5100000000000002,3
OVER,2024020236:8478406,2.62,3,0.0,0
OVER,2024020237:8475852,0.9099999999999999,1,0.0,0
OVER,2024020237:8479406,-3.0,3,0.0,0
OVER,2024020239:8480045,-1.0,1,-1.0,1
OVER,2024020239:8480051,-2.0,2,0.0,0
OVER,2024020240:8477970,2.5500000000000003,3,0.0,0
OVER,2024020240:8481035,3.0199999999999996,3,3.0199999999999996,3
OVER,2024020241:8479979,-3.0,3,0.0,0
OVER,2024020241:8482446,-3.0,3,0.0,0
OVER,2024020242:8475311,-3.0,3,0.0,0
OVER,2024020242:8481692,2.42,3,0.0,0
OVER,2024020243:8477424,2.63,3,0.0,0
OVER,2024020243:8480382,2.46,3,1.6900000000000002,2
