game_date,game_id,goalie_name,betting_line,goalie_id,team_abbrev,opponent_team,is_home,predicted_saves,prob_over,confidence_pct,confidence_bucket,recommendation,bet_amount,bet_selection,actual_saves,result,profit_loss,notes,line_over,line_under,ev,book
2026-01-08,2025020689,Saros,23.5,8477424.0,NSH,NYI,1,23.20000076293945,0.4397452175617218,12.05095672607422,55-60%,NO BET,,,30.0,NO BET,0.0,,-104.0,-125.0,,
2026-01-08,2025020688,,,,ANA,CAR,0,,,,,,,NONE,,,,,,,,
2026-01-08,2025020687,Allen,25.5,8474596.0,NJD,PIT,0,25.5,0.4997613430023193,0.0477313995361328,50-55%,NO BET,,NONE,25.0,NO BET,0.0,,-103.0,-127.0,,
2026-01-08,2025020687,Skinner,23.5,8479973.0,PIT,NJD,1,23.60000038146973,0.5100864171981812,2.01728343963623,50-55%,NO BET,,NONE,28.0,NO BET,0.0,,-124.0,-106.0,,
2026-01-08,2025020689,Rittich,25.5,8479496.0,NYI,NSH,0,25.5,0.5077769160270691,1.555383205413818,50-55%,NO BET,,NONE,26.0,NO BET,0.0,,-106.0,-122.0,,
2026-01-08,2025020686,Vladar,21.5,8478435.0,PHI,TOR,1,21.79999923706055,0.5518621206283569,10.37242412567139,55-60%,OVER,1.0,OVER,21.0,LOSS,-1.0,,-102.0,-129.0,,
2026-01-08,2025020685,Ellis,23.5,8481551.0,BUF,NYR,0,23.5,0.5048500299453735,0.970005989074707,50-55%,NO BET,,NONE,30.0,NO BET,0.0,,-108.0,-121.0,,
2026-01-08,2025020685,Quick,24.5,8471734.0,NYR,BUF,1,24.5,0.5092034339904785,1.840686798095703,50-55%,NO BET,,NONE,16.0,NO BET,0.0,,102.0,-132.0,,
2026-01-08,2025020684,Lankinen,24.5,8480947.0,VAN,DET,0,24.29999923706055,0.4601961374282837,7.960772514343262,50-55%,NO BET,,NONE,20.0,NO BET,0.0,,-113.0,-115.0,,
2026-01-08,2025020684,Gibson,23.5,8476434.0,DET,VAN,1,23.60000038146973,0.5273376703262329,5.467534065246582,50-55%,OVER,1.0,OVER,23.0,LOSS,-1.0,,104.0,-136.0,,
2026-01-08,2025020683,Bobrovsky,21.5,8475683.0,FLA,MTL,0,21.20000076293945,0.4476246535778046,10.47506904602051,55-60%,UNDER,1.0,UNDER,14.0,WIN,0.970873786407767,,-127.0,-103.0,,
2026-01-08,2025020683,Montembeault,24.5,8478470.0,MTL,FLA,1,24.5,0.4963668584823608,0.726628303527832,50-55%,NO BET,,NONE,25.0,NO BET,0.0,,-124.0,-105.0,,
2026-01-08,2025020682,,,,CGY,BOS,0,,,,,,,NONE,,,,,,,,
2026-01-08,2025020682,Korpisalo,24.5,8476914.0,BOS,CGY,1,24.60000038146973,0.5279759168624878,5.595183372497559,50-55%,NO BET,,NONE,28.0,NO BET,0.0,,-124.0,-106.0,,
2026-01-09,2025020695,kuemper,23.5,8475311.0,LAK,WPG,0,23.70000076293945,0.5316405892372131,6.328117847442627,50-55%,NO BET,,NONE,11.0,NO BET,0.0,,-124.0,101.0,,
2026-01-09,2025020696,Vejmelka,21.5,8478872.0,UTA,STL,1,21.60000038146973,0.5242446064949036,4.848921298980713,50-55%,NO BET,,NONE,26.0,NO BET,0.0,,-103.0,-120.0,,
2026-01-09,2025020695,comrie,22.5,8477480.0,WPG,LAK,1,22.29999923706055,0.4687023460865021,6.259531021118164,50-55%,UNDER,1.0,UNDER,23.0,LOSS,-1.0,,-122.0,100.0,,
2026-01-09,2025020694,thompson,23.5,8480313.0,WSH,CHI,0,23.39999961853027,0.4770161807537079,4.596763610839844,50-55%,NO BET,,NONE,23.0,NO BET,0.0,,-102.0,-121.0,,
2026-01-09,2025020694,knight,24.5,8481519.0,CHI,WSH,1,24.60000038146973,0.5213780999183655,4.275619983673096,50-55%,NO BET,,NONE,,,,,-130.0,106.0,,
2026-01-09,2025020696,Hofer,25.5,8480981.0,STL,UTA,0,25.5,0.5061570405960083,1.23140811920166,50-55%,NO BET,,NONE,19.0,NO BET,0.0,,-104.0,-120.0,,
2026-01-10,2025020697,swayman,22.5,8480280.0,BOS,NYR,1,22.5,0.4923745691776276,1.525086164474487,50-55%,NO BET,,NONE,27.0,NO BET,0.0,,-113.0,-109.0,,
2026-01-10,2025020697,quick,24.5,8471734.0,NYR,BOS,0,24.29999923706055,0.4569262266159058,8.614754676818848,50-55%,NO BET,,NONE,14.0,NO BET,0.0,,102.0,-125.0,,
2026-01-10,2025020698,silovs,24.5,8481668.0,PIT,CGY,1,24.29999923706055,0.4520938098430634,9.58123779296875,50-55%,NO BET,,NONE,23.0,NO BET,0.0,,-103.0,-127.0,,
2026-01-10,2025020698,cooley,25.5,8482445.0,CGY,PIT,0,25.5,0.4902864992618561,1.942700147628784,50-55%,NO BET,,NONE,27.0,NO BET,0.0,,-122.0,-107.0,,
2026-01-10,2025020699,miner,23.5,,COL,CBJ,1,,,,,,,NONE,,,,,-124.0,-106.0,,
2026-01-10,2025020699,merzlikins,28.5,8478007.0,CBJ,COL,0,28.10000038146973,0.4256199300289154,14.87601375579834,55-60%,UNDER,1.0,UNDER,27.0,WIN,0.8333333333333335,,-103.0,-120.0,,
2026-01-10,2025020700,nedeljkovic,24.5,8477968.0,SJS,DAL,1,24.39999961853027,0.4727483689785004,5.450325965881348,50-55%,NO BET,,NONE,16.0,NO BET,0.0,,-112.0,-117.0,,
2026-01-10,2025020700,desmith,22.5,8479193.0,DAL,SJS,0,22.60000038146973,0.5182276964187622,3.645539283752441,50-55%,NO BET,,NONE,26.0,NO BET,0.0,,-115.0,-113.0,,
2026-01-10,2025020701,luukkonen,24.5,8480045.0,BUF,ANA,1,24.70000076293945,0.5327026844024658,6.540536880493164,50-55%,NO BET,,NONE,31.0,NO BET,0.0,,-124.0,-105.0,,
2026-01-10,2025020701,,,,ANA,BUF,0,,,,,,,NONE,,,,,,,,
2026-01-10,2025020702,woll,25.5,8479361.0,TOR,VAN,1,25.70000076293945,0.5326765775680542,6.53531551361084,50-55%,OVER,1.0,OVER,29.0,WIN,1.02,,102.0,-134.0,,
2026-01-10,2025020702,demko,24.5,8477967.0,VAN,TOR,0,24.29999923706055,0.4588067531585693,8.238649368286133,50-55%,NO BET,,NONE,3.0,NO BET,0.0,,-104.0,-125.0,,
2026-01-10,2025020703,fowler,23.5,8484170.0,MTL,DET,1,23.5,0.5080380439758301,1.607608795166016,50-55%,NO BET,,NONE,20.0,NO BET,0.0,,-115.0,-113.0,,
2026-01-10,2025020703,gibson,24.5,8476434.0,DET,MTL,0,24.60000038146973,0.53,5.236601829528809,50-55%,NO BET,,NONE,27.0,NO BET,0.0,,-106.0,-124.0,,
2026-01-10,2025020704,bobrovsky,24.5,8475683.0,FLA,OTT,0,24.10000038146973,0.4293016791343689,14.13966369628906,55-60%,NO BET,,NONE,17.0,NO BET,0.0,,100.0,-124.0,,
2026-01-10,2025020705,ersson,22.5,8481035.0,PHI,TBL,1,22.20000076293945,0.449502557516098,10.09948825836182,55-60%,NO BET,,NONE,16.0,NO BET,0.0,,-107.0,-122.0,,
2026-01-10,2025020705,vasilevskiy,23.5,8476883.0,TBL,PHI,0,23.5,0.506755530834198,1.3511061668396,50-55%,NO BET,,NONE,18.0,NO BET,0.0,,-113.0,-115.0,,
2026-01-10,2025020706,bussi,20.5,8483548.0,CAR,SEA,1,20.70000076293945,0.5499760508537292,9.995210647583008,50-55%,OVER,1.0,OVER,10.0,LOSS,-1.0,,-107.0,-122.0,,
2026-01-10,2025020706,,,,SEA,CAR,0,,,,,,,NONE,,,,,,,,
2026-01-10,2025020707,saros,22.5,8477424.0,NSH,CHI,1,22.5,0.4972176551818848,0.5564689636230469,50-55%,NO BET,,NONE,18.0,NO BET,0.0,,-104.0,-125.0,,
2026-01-10,2025020707,,,,CHI,NSH,0,,,,,,,NONE,,,,,,,,
2026-01-10,2025020708,sorokin,26.5,8478009.0,NYI,MIN,0,26.60000038146973,0.5143057703971863,2.861154079437256,50-55%,NO BET,,NONE,33.0,NO BET,0.0,,102.0,-132.0,,
2026-01-10,2025020709,ingram,22.5,8478971.0,EDM,LAK,1,22.5,0.5041725635528564,0.8345127105712891,50-55%,NO BET,,NONE,27.0,NO BET,0.0,,-118.0,-110.0,,
2026-01-10,2025020709,,,,LAK,EDM,0,,,,,,,NONE,,,,,,,,
2026-01-10,2025020710,Schmid,20.5,8481033.0,VGK,STL,1,20.39999961853027,0.4793707132339478,4.125857353210449,50-55%,NO BET,,NONE,17.0,NO BET,0.0,,-102.0,-129.0,,
2026-01-10,2025020710,Binnington,24.5,8476412.0,STL,VGK,0,24.5,0.4986982941627502,0.2603411674499512,50-55%,NO BET,,NONE,21.0,NO BET,0.0,,-127.0,-103.0,,
2026-01-10,2025020704,Meriläinen,23.5,8482447.0,OTT,FLA,1,23.39999961853027,0.4808975160121918,3.820496797561646,50-55%,NO BET,,NONE,18.0,NO BET,0.0,,-115.0,-107.0,,
2026-01-10,2025020708,,,,MIN,NYI,1,,,,,,,NONE,,,,,,,,
2026-01-11,2025020711,,,,NJD,WPG,0,,,,,,,NONE,,,,,,,,
2026-01-11,2025020715,,,,VGK,SJS,0,,,,,,,NONE,,,,,,,,
2026-01-11,2025020715,askarov,25.5,8482137.0,SJS,VGK,1,25.20000076293945,0.4438229203224182,11.23541641235352,55-60%,UNDER,1.0,UNDER,26.0,LOSS,-1.0,,-122.0,-107.0,,
2026-01-11,2025020714,greaves,26.5,8482982.0,CBJ,UTA,0,26.39999961853027,0.4883530735969543,2.329385280609131,50-55%,NO BET,,NONE,25.0,NO BET,0.0,,-106.0,-124.0,,
2026-01-11,2025020714,,,,UTA,CBJ,1,,,,,,,NONE,,,,,,,,
2026-01-11,2025020713,lindgren,24.5,8479292.0,WSH,NSH,0,24.29999923706055,0.4668174088001251,6.636518478393555,50-55%,NO BET,,NONE,18.0,NO BET,0.0,,-124.0,-106.0,,
2026-01-11,2025020713,Annunen,23.5,8481020.0,NSH,WSH,1,23.5,0.5050497055053711,1.009941101074219,50-55%,NO BET,,NONE,28.0,NO BET,0.0,,-118.0,-110.0,,
2026-01-11,2025020712,skinner,23.5,8479973.0,PIT,BOS,0,23.60000038146973,0.5104933977127075,2.098679542541504,50-55%,NO BET,,NONE,17.0,NO BET,0.0,,-104.0,-118.0,,
2026-01-11,2025020712,korpisalo,25.5,8476914.0,BOS,PIT,1,25.60000038146973,0.5174108147621155,3.482162952423096,50-55%,OVER,1.0,OVER,27.0,WIN,1.06,,106.0,-137.0,,
2026-01-13,2025020733,hildeby,26.5,8483710.0,TOR,UTA,0,26.5,0.5025517344474792,0.5103468894958496,50-55%,NO BET,,NONE,35.0,NO BET,0.0,,-112.0,-117.0,-0.0257501602172851,Underdog
2026-01-13,2025020733,vejmelka,21.5,8478872.0,UTA,TOR,1,21.60000038146973,0.5225210189819336,4.504203796386719,50-55%,NO BET,,NONE,19.0,NO BET,0.0,,-129.0,-102.0,-0.0274715423583984,Underdog
2026-01-13,2025020732,sorokin,24.5,8478009.0,NYI,WPG,0,24.70000076293945,0.532870888710022,6.574177742004395,50-55%,NO BET,,NONE,17.0,NO BET,0.0,,-129.0,-102.0,-0.0304479002952575,Underdog
2026-01-13,2025020732,hellebuyck,22.5,8476945.0,WPG,NYI,1,22.60000038146973,0.5217793583869934,4.355871677398682,50-55%,NO BET,,NONE,23.0,NO BET,0.0,,-130.0,100.0,-0.021779358386993,Underdog
2026-01-13,2025020731,,,,EDM,NSH,0,,,,,,,NONE,,,,,,,,Underdog
2026-01-13,2025020731,saros,24.5,8477424.0,NSH,EDM,1,24.70000076293945,0.5351357460021973,7.027149200439453,50-55%,NO BET,,NONE,28.0,NO BET,0.0,,-124.0,-105.0,-0.0184356570243835,Underdog
2026-01-13,2025020730,bussi,19.5,8483548.0,CAR,STL,0,19.79999923706055,0.553071916103363,10.61438369750977,55-60%,OVER,1.0,OVER,28.0,WIN,0.8771929824561404,,-114.0,-108.0,0.020361661911011,Underdog
2026-01-13,2025020730,hofer,26.5,8480981.0,STL,CAR,1,26.5,0.4926919639110565,1.461607217788696,50-55%,NO BET,,NONE,33.0,NO BET,0.0,,-122.0,-107.0,-0.0096002221107482,Underdog
2026-01-13,2025020728,greaves,26.5,8482982.0,CBJ,CGY,1,26.60000038146973,0.5237208008766174,4.744160175323486,50-55%,NO BET,,NONE,29.0,NO BET,0.0,,-107.0,-122.0,0.006812572479248,Underdog
2026-01-13,2025020729,swayman,23.5,8480280.0,BOS,DET,1,23.60000038146973,0.528777003288269,5.755400657653809,50-55%,NO BET,,NONE,24.0,NO BET,0.0,,-118.0,-110.0,-0.0125073790550231,Underdog
2026-01-13,2025020728,wolf,26.5,8481692.0,CGY,CBJ,0,26.39999961853027,0.4788225293159485,4.235494136810303,50-55%,NO BET,,NONE,38.0,NO BET,0.0,,-103.0,-127.0,-0.0285666584968566,Underdog
2026-01-13,2025020734,dostal,22.5,8480843.0,ANA,DAL,1,22.79999923706055,0.5653749108314514,13.07498168945312,55-60%,NO BET,1.0,OVER,24.0,WIN,0.8264462809917354,,-121.0,-103.0,0.017863571643829,Underdog
2026-01-13,2025020727,montembeault,23.5,8478470.0,MTL,WSH,0,23.60000038146973,0.5148718357086182,2.974367141723633,50-55%,NO BET,,NONE,39.0,NO BET,0.0,,-125.0,-104.0,-0.0246757864952087,Underdog
2026-01-13,2025020727,thompson,22.5,8480313.0,WSH,MTL,1,22.60000038146973,0.5291582345962524,5.831646919250488,50-55%,NO BET,,NONE,23.0,NO BET,0.0,,-124.0,-106.0,-0.0244131684303283,Underdog
2026-01-13,2025020726,vasilevskiy,24.5,8476883.0,TBL,PIT,0,24.60000038146973,0.5146847367286682,2.936947345733643,50-55%,NO BET,,NONE,26.0,NO BET,0.0,,-113.0,-115.0,-0.015831708908081,Underdog
2026-01-13,2025020726,silovs,22.5,8481668.0,PIT,TBL,1,22.70000076293945,0.5380865335464478,7.617306709289551,50-55%,NO BET,,NONE,30.0,NO BET,0.0,,-112.0,-117.0,0.0097846388816833,Underdog
2026-01-13,2025020729,,,,DET,BOS,0,,,,,,,NONE,,,,,,,,Underdog
2026-01-13,2025020734,desmith,25.5,8479193.0,DAL,ANA,0,25.70000076293945,0.5317273736000061,6.345474720001221,50-55%,NO BET,,NONE,22.0,NO BET,0.0,,-113.0,-115.0,0.0012109279632568,Underdog
2026-01-13,2025020726,vasilevskiy,24.5,8476883.0,TBL,PIT,0,24.60000038146973,0.5146847367286682,2.936947345733643,50-55%,NO BET,,NONE,26.0,NO BET,0.0,,-113.0,-115.0,-0.015831708908081,
